wallet,total_deposit_usd,total_borrow_usd,total_repay_usd,repay_ratio,borrow_to_deposit_ratio,deposit_frequency,liquidation_count,redeem_count,unique_assets,avg_tx_interval,score
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1.1536765310394421,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x00080000158a9930aeb508823103b0a977161c47,2.6175135989121427,0.0,0.0,0.0,0.0,2,0,0,1,862998.0,700
0x00099b1263c22ae2ce0a52624cef2a012e751970,1.0581473433072288,0.0,0.0,0.0,0.0,2,0,0,1,674950.0,700
0x0009ce45d5df78e632a0b4987079432dfba2253a,0.032446847156000054,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x000a27ba176083e4b50177378cbe7469a00dd557,2.7788499723935907e-10,1.603863100380374e-10,1.6022581757470163e-10,0.9989993381399092,0.5771679350500776,4,0,4,2,260661.63636363635,900
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,19326.63909054446,73.56464165297409,1.3381494379508398e-08,1.819011698939936e-10,0.003806385647723174,18,0,12,5,53307.5,800
0x000ab43e658935ba39504a1424b01756c1e9644c,0.1136523793834397,0.011365237938343969,0.0,0.0,0.09999999999999999,1,0,0,1,44.0,700
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,273.5115444784605,0.0,0.0,0.0,0.0,49,0,28,8,140136.63157894736,800
0x000c8e2871750f458bf1de8ab528dda09bc95db6,5480.588573862458,2366.767191230522,2366.767191230522,1.0,0.43184544129400626,1,0,1,2,20.0,900
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,187.61063040332172,9.63876514679313e-10,9.33097790033521e-10,0.9680677719842233,5.137643387302679e-12,20,0,14,4,81640.55714285714,1000
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,282.1056376025053,4.010267633402084e-11,4.031433339845019e-11,1.0052778787796213,1.4215482070771882e-13,4,0,0,2,529878.4,900
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.0012181088062153706,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.13920558505203293,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,760.4061861653315,8.867244790708097e-10,5.036501564107848e-10,0.5679894581669327,1.1661194966633444e-12,1,0,2,3,994476.2857142857,800
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,7053.997334319023,0.0,0.0,0.0,0.0,6,0,2,2,250784.42857142858,700
0x000e840a3122ec28d0c29321db172375cb049762,700.190083689281,2.168257036891647e-10,2.173913973215126e-10,1.0026089786530055,3.096669157990876e-13,5,0,1,2,252442.88888888888,900
0x000e9bd1d42999446d60ff60f1fb3afb13604202,66.65412381021297,3.463095615590085e-11,3.537800801727156e-11,1.021571794264289,5.195620942300135e-13,8,0,4,3,8119.428571428572,900
0x000eab293e332bd6e67018a9150e8807bfac3233,1.097254760600487,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,102.37738923188869,0.0,0.0,0.0,0.0,1,0,1,2,1354343.0,700
0x000f4432a40560bbff1b581a8b7aded8dab80026,31488.764002887656,1.760397911970302e-08,1.75663772474764e-08,0.997864012904643,5.590558942894253e-13,7,0,9,4,65319.5,950
0x000f7f22bfc28d940d4b68e13213ab17cf107790,40942704.98824154,34436280.28011006,34334725.65069429,0.9970509407929744,0.8410846398644135,26,0,15,5,3392.402777777778,900
0x000f908720f9ce164d90f4fc89459fab4442907f,1533.5142063321437,796.4431003956306,792.7758701469054,0.9953954899641876,0.5193581494758772,32,0,17,2,1231.1684210526316,950
0x000fbfec300959d0f2f327728a889c1f5de8e2df,591.4282535689781,140.01063060029028,139.70001148776586,0.9977814605134435,0.23673307752106043,3,0,3,2,99181.0,900
0x0011730224657eb527cf736039854c3a3f140e63,1507.324205025002,738.0253561825903,738.0253561825903,1.0,0.48962615588751107,1,0,1,2,46.0,900
0x00120ea6fdbaf057eadc1bd149f957488444e92c,261.125891711734,2.602967788219515e-12,2.6163774015531503e-12,1.0051516631878137,9.968248537732221e-15,2,0,0,2,1572.0,900
0x0012668072f7e0579caf7e047713d8b6d476d0db,2.2961814875215225,0.0,0.0,0.0,0.0,2,0,0,1,239792.0,700
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,18386.33810321085,4965.173744632388,935.1319572950626,0.1883382144091109,0.2700469074788366,101,2,11,7,23291.534782608695,700
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,700
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.20424043145808832,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
